"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 00:00","2024","06","01","00:00","","14.4","","7.2","","61","","","","22","","11","","24.1","","100.21","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 01:00","2024","06","01","01:00","","12.4","","6.3","","66","","","","24","","13","","24.1","","100.23","","","","","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 02:00","2024","06","01","02:00","","12.1","","5.4","","64","","","","26","","9","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 03:00","2024","06","01","03:00","","12.5","","6.0","","64","","","","25","","7","","24.1","","100.22","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 04:00","2024","06","01","04:00","","12.2","","6.0","","66","","","","28","","5","","24.1","","100.20","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 05:00","2024","06","01","05:00","","11.8","","6.4","","69","","","","27","","6","","24.1","","100.23","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 06:00","2024","06","01","06:00","","14.4","","7.2","","62","","","","21","","4","","24.1","","100.20","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 07:00","2024","06","01","07:00","","16.1","","7.8","","58","","","","","","0","","24.1","","100.21","","","","","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 08:00","2024","06","01","08:00","","18.3","","9.1","","55","","","","18","","5","","24.1","","100.22","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-06-01 09:00","2024","06","01","09:00","","20.8","","9.0","","46","","","","24","","8","","24.1","","100.19","","","","","","NA"
