timestamp_utc,latitude,longitude,ghi_wm2,dni_wm2,dif_wm2
2024-06-01 00:00:00+00:00,43.68,-79.63,24.67,160.47,14.43
2024-06-01 01:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 02:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 03:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 04:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 05:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 06:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 07:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 08:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 09:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-01 10:00:00+00:00,43.68,-79.63,77.12,164.42,56.97
2024-06-01 11:00:00+00:00,43.68,-79.63,228.02,387.82,125.52
2024-06-01 12:00:00+00:00,43.68,-79.63,413.4,626.08,156.04
2024-06-01 13:00:00+00:00,43.68,-79.63,587.38,685.1,182.81
2024-06-01 14:00:00+00:00,43.68,-79.63,687.33,544.68,358.03
2024-06-01 15:00:00+00:00,43.68,-79.63,725.53,333.98,523.15
2024-06-01 16:00:00+00:00,43.68,-79.63,751.65,227.0,552.93
2024-06-01 17:00:00+00:00,43.68,-79.63,715.5,167.23,501.96
2024-06-01 18:00:00+00:00,43.68,-79.63,786.8,481.07,372.26
2024-06-01 19:00:00+00:00,43.68,-79.63,757.0,597.22,281.97
2024-06-01 20:00:00+00:00,43.68,-79.63,558.95,319.23,332.77
2024-06-01 21:00:00+00:00,43.68,-79.63,333.3,48.75,272.75
2024-06-01 22:00:00+00:00,43.68,-79.63,201.02,35.04,171.99
2024-06-01 23:00:00+00:00,43.68,-79.63,93.55,29.27,79.22
2024-06-02 00:00:00+00:00,43.68,-79.63,13.2,10.45,14.39
2024-06-02 01:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 02:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 03:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 04:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 05:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 06:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 07:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 08:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 09:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-02 10:00:00+00:00,43.68,-79.63,19.45,0.0,17.0
2024-06-02 11:00:00+00:00,43.68,-79.63,54.35,0.0,47.15
2024-06-02 12:00:00+00:00,43.68,-79.63,91.75,0.0,77.65
2024-06-02 13:00:00+00:00,43.68,-79.63,122.85,0.0,103.75
2024-06-02 14:00:00+00:00,43.68,-79.63,126.15,0.0,103.74
2024-06-02 15:00:00+00:00,43.68,-79.63,209.07,10.2,166.93
2024-06-02 16:00:00+00:00,43.68,-79.63,298.67,51.82,200.95
2024-06-02 17:00:00+00:00,43.68,-79.63,278.33,81.05,192.6
2024-06-02 18:00:00+00:00,43.68,-79.63,250.93,20.69,198.05
2024-06-02 19:00:00+00:00,43.68,-79.63,173.43,21.51,132.68
2024-06-02 20:00:00+00:00,43.68,-79.63,172.02,34.52,131.79
2024-06-02 21:00:00+00:00,43.68,-79.63,134.7,26.72,108.99
2024-06-02 22:00:00+00:00,43.68,-79.63,85.25,20.83,71.86
2024-06-02 23:00:00+00:00,43.68,-79.63,41.03,15.06,33.32
2024-06-03 00:00:00+00:00,43.68,-79.63,3.72,6.08,4.02
2024-06-03 01:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 02:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 03:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 04:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 05:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 06:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 07:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 08:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 09:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-03 10:00:00+00:00,43.68,-79.63,21.6,11.22,18.06
2024-06-03 11:00:00+00:00,43.68,-79.63,76.22,20.52,63.91
2024-06-03 12:00:00+00:00,43.68,-79.63,130.7,23.69,106.53
2024-06-03 13:00:00+00:00,43.68,-79.63,178.75,47.58,131.42
2024-06-03 14:00:00+00:00,43.68,-79.63,299.7,50.46,215.95
2024-06-03 15:00:00+00:00,43.68,-79.63,412.77,179.1,243.53
2024-06-03 16:00:00+00:00,43.68,-79.63,536.92,172.2,328.03
2024-06-03 17:00:00+00:00,43.68,-79.63,588.4,581.49,216.69
2024-06-03 18:00:00+00:00,43.68,-79.63,714.42,525.44,248.09
2024-06-03 19:00:00+00:00,43.68,-79.63,708.35,608.6,219.43
2024-06-03 20:00:00+00:00,43.68,-79.63,620.28,611.83,180.81
2024-06-03 21:00:00+00:00,43.68,-79.63,476.6,551.49,155.04
2024-06-03 22:00:00+00:00,43.68,-79.63,295.4,472.82,115.19
2024-06-03 23:00:00+00:00,43.68,-79.63,134.95,271.41,78.58
2024-06-04 00:00:00+00:00,43.68,-79.63,19.85,42.03,20.32
2024-06-04 01:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 02:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 03:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 04:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 05:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 06:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 07:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 08:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 09:00:00+00:00,43.68,-79.63,0.0,0.0,0.0
2024-06-04 10:00:00+00:00,43.68,-79.63,65.82,124.24,50.75
2024-06-04 11:00:00+00:00,43.68,-79.63,189.82,226.59,128.52
2024-06-04 12:00:00+00:00,43.68,-79.63,346.25,265.31,222.98
2024-06-04 13:00:00+00:00,43.68,-79.63,500.73,371.4,295.84
2024-06-04 14:00:00+00:00,43.68,-79.63,632.25,418.88,312.53
2024-06-04 15:00:00+00:00,43.68,-79.63,676.83,332.28,488.1
2024-06-04 16:00:00+00:00,43.68,-79.63,705.35,258.46,509.45
